Ind. Gravidade,Latitude GPS,Longitude GPS
3,40.13922,-8.470714
3,40.200099,-8.438916
3,40.15208,-8.460617
3,40.230089,-8.402451
3,40.235861,-8.436311
3,40.21825,-8.553104
6,40.28852,-8.446062
3,40.195814,-8.431593
6,40.21049,-8.417277
3,40.215657,-8.440118
3,40.18779,-8.546783
103,40.22187,-8.54908
3,40.15523,-8.416461
3,40.192819,-8.416048
3,40.207739,-8.407789
3,40.22218,-8.439403
10,40.205136,-8.426988
3,40.209952,-8.402235
3,40.210259,-8.420858
3,40.236287,-8.436362
6,40.212428,-8.415194
3,40.206079,-8.400819
3,40.194994,-8.401145
3,40.193548,-8.403019
3,40.191378,-8.457818
6,40.223564,-8.439255
3,40.216081,-8.439323
6,40.17322,-8.452883
3,40.31525,-8.428928
3,40.200679,-8.418314
3,40.198966,-8.441552
3,40.221103,-8.439073
3,40.13861,-8.429089
3,40.15066,-8.462262
3,40.214353,-8.448331
3,40.212269,-8.443917
3,40.214641,-8.447001
6,40.217986,-8.414455
3,40.246286,-8.429501
3,40.22296,-8.439429
3,40.198895,-8.460285
3,40.20344,-8.41416
3,40.197436,-8.396374
3,40.208041,-8.403779
3,40.201585,-8.410264
3,40.24071,-8.511186
3,40.16241,-8.45681
6,40.22657,-8.409653
3,40.25216,-8.426054
3,40.209217,-8.427753
3,40.16238,-8.45673
3,40.18289,-8.552127
3,40.206114,-8.420207
3,40.189795,-8.400517
9,40.201123,-8.441089
6,40.21945,-8.421239
3,40.12998,-8.458073
12,40.2178,-8.559208
3,40.217958,-8.437426
3,40.201004,-8.408478
3,40.17527,-8.38083
3,40.3134,-8.400271
6,40.30862,-8.37346
6,40.245436,-8.418343
3,40.17793,-8.477061
3,40.22216,-8.549842
3,40.210899,-8.422807
9,40.224015,-8.438252
3,40.212907,-8.444551
3,40.208294,-8.435429
3,40.204717,-8.404237
3,40.2355,-8.491327
3,40.23162,-8.514555
3,40.13098,-8.478483
3,40.21623,-8.551725
3,40.19263,-8.507184
3,40.195149,-8.419093
6,40.27428,-8.443594
3,40.201929,-8.435661
3,40.23381,-8.503246
3,40.21112,-8.417899
6,40.22286,-8.439529
3,40.217986,-8.414455
3,40.198135,-8.421009
3,40.21455,-8.44673
3,40.215574,-8.440052
6,40.23992,-8.483299
3,40.215485,-8.433403
16,40.27195,-8.437841
3,40.196022,-8.456219
3,40.214382,-8.432936
3,40.214037,-8.412848
3,40.21459,-8.416614
3,40.254216,-8.432343
3,40.22291,-8.427148
3,40.17696,-8.469719
3,40.14677,-8.467047
3,40.239003,-8.436167
3,40.215887,-8.409368
3,40.210957,-8.422786
9,40.217436,-8.437575
3,40.201488,-8.416341
3,40.13183,-8.472927
3,40.21882,-8.400814
3,40.210356,-8.462563
3,40.16594,-8.41708
3,40.23175,-8.526442
3,40.213435,-8.433815
6,40.243948,-8.431928
6,40.24231,-8.543887
3,40.201865,-8.411644
3,40.211106,-8.404271
3,40.18313,-8.354382
3,40.23604,-8.49108
3,40.16497,-8.459945
3,40.24027,-8.483309
3,0,0
3,40.248137,-8.439671
3,40.21038,-8.462161
3,40.16887,-8.455546
3,40.207743,-8.42236
3,40.200743,-8.403974
3,40.18519,-8.405524
3,40.193072,-8.402659
3,40.197117,-8.407143
3,40.210473,-8.456455
6,40.24459,-8.493733
3,40.22781,-8.538127
3,40.217565,-8.40519
6,40.28884,-8.444935
3,40.202707,-8.403007
3,40.213453,-8.432129
3,40.206773,-8.4757
10,40.196479,-8.45161
3,40.27578,-8.476365
3,40.218319,-8.438541
6,40.16872,-8.438616
3,40.24052,-8.482893
3,40.209747,-8.402116
3,40.217226,-8.438073
3,40.231245,-8.436245
3,40.251218,-8.439224
3,40.202159,-8.435651
3,40.27258,-8.44376
3,40.213362,-8.433032
3,40.23021,-8.545131
3,40.204629,-8.426186
3,40.22972,-8.373299
3,40.27296,-8.398998
3,40.28876,-8.424202
3,40.20813,-8.497703
3,40.251201,-8.421521
3,40.20712,-8.429952
3,40.253044,-8.435122
3,40.233747,-8.377254
3,40.19287,-8.384629
3,40.213378,-8.413328
3,40.252859,-8.43543
3,40.255951,-8.41897
3,40.28466,-8.388045
3,40.245086,-8.410182
9,40.18332,-8.402799
