Ind. Gravidade,Latitude GPS,Longitude GPS
9,40.29548,-8.445761
9,40.19086,-8.551526
3,40.245593,-8.430223
3,40.22985,-8.519104
3,40.240546,-8.471371
3,40.238342,-8.460169
3,40.22227,-8.439812
3,40.194484,-8.408753
6,40.17757,-8.425087
3,40.195175,-8.409471
3,40.22251,-8.37503
3,40.208896,-8.42607
6,40.32884,-8.402063
3,40.213126,-8.403364
3,40.176334,-8.450309
6,40.216083,-8.439528
3,40.27158,-8.436489
6,40.213338,-8.433731
3,40.203457,-8.413676
3,40.219499,-8.438866
3,40.216083,-8.439528
3,40.2068,-8.429336
3,40.204904,-8.403605
3,40.207716,-8.399986
3,40.218294,-8.446474
9,40.203772,-8.432049
3,40.210952,-8.402704
3,40.195559,-8.402824
3,40.202718,-8.404499
3,40.19188,-8.486981
3,40.211734,-8.417565
6,40.2508,-8.466554
3,40.21442,-8.434739
3,40.28133,-8.473377
3,40.195312,-8.448864
3,40.229604,-8.434983
3,40.210311,-8.402869
3,40.193977,-8.406427
3,40.19519,-8.408289
3,40.211433,-8.444158
3,40.217557,-8.401523
3,40.26656,-8.467476
9,40.226319,-8.409815
3,40.18327,-8.40275
3,40.232147,-8.440638
3,40.214436,-8.415916
3,40.201286,-8.416903
3,40.210036,-8.422325
6,40.27335,-8.443358
3,40.28962,-8.442666
3,40.208791,-8.403398
9,40.16889,-8.455439
3,40.253038,-8.43512
9,40.227432,-8.439168
3,40.203808,-8.432058
3,40.30371,-8.391087
3,40.236815,-8.435445
3,40.251151,-8.439333
3,40.27355,-8.453207
6,40.202225,-8.399967
3,40.212736,-8.444786
3,40.198282,-8.421017
10,40.24051,-8.48277
6,40.214058,-8.456015
6,40.203437,-8.415034
3,40.17347,-8.516507
3,40.222604,-8.439668
3,40.218403,-8.407871
3,40.20792,-8.431084
3,40.14434,-8.28248
3,40.22634,-8.528942
3,40.213205,-8.430827
3,40.215034,-8.432535
3,40.19954,-8.402869
3,40.209964,-8.421183
6,40.27529,-8.443867
3,40.198561,-8.42953
3,40.10786,-8.387095
3,40.211325,-8.424017
6,40.19892,-8.502687
3,40.21798,-8.437424
3,40.29211,-8.424963
3,40.250257,-8.441268
3,40.220093,-8.438944
6,40.1883,-8.489333
3,40.200887,-8.403821
6,40.219806,-8.469142
3,40.201589,-8.410232
3,40.221963,-8.429217
3,40.198197,-8.436664
3,40.195005,-8.401128
3,40.236,-8.491091
3,40.16494,-8.409069
3,40.22802,-8.375956
3,40.203015,-8.435466
3,40.17206,-8.393061
3,40.195629,-8.414965
3,40.1995,-8.48932
3,40.214424,-8.417481
3,40.223236,-8.439178
3,40.203081,-8.410171
3,40.215905,-8.435978
3,40.217302,-8.437488
3,40.236165,-8.394507
6,40.198013,-8.461642
3,40.186981,-8.429552
3,40.214369,-8.43185
10,40.22548,-8.5542
6,40.23349,-8.508179
3,40.218487,-8.427582
3,40.208344,-8.438448
15,40.230581,-8.429216
3,40.176113,-8.450631
3,40.209877,-8.398183
3,40.191272,-8.430445
3,40.195342,-8.450093
3,40.76395,-8.447059
3,40.205049,-8.404191
3,40.240202,-8.437731
3,40.22763,-8.530669
3,40.210309,-8.465174
6,40.194984,-8.401095
3,40.29215,-8.446126
3,40.211436,-8.422969
9,40.23071,-8.435334
3,40.192927,-8.420628
3,40.215609,-8.435856
3,40.202385,-8.409651
3,40.196112,-8.46145
3,40.225754,-8.436826
3,40.203891,-8.402591
3,40.233747,-8.377254
3,40.216682,-8.409247
3,40.220728,-8.407302
3,40.30648,-8.397835
3,40.214223,-8.450912
3,40.223318,-8.43897
3,40.236217,-8.387012
3,40.202634,-8.408806
3,40.18419,-8.487301
3,40.16172,-8.419801
3,40.215976,-8.439007
6,40.211625,-8.429493
6,40.212339,-8.433075
3,40.207787,-8.399761
3,40.22926,-8.520069
103,40.219561,-8.421166
10,40.25049,-8.450482
20,40.22447,-8.420189
3,40.211688,-8.425582
13,40.207316,-8.430372
3,40.214056,-8.460133
3,40.202752,-8.419303
3,40.12585,-8.478409
3,40.202058,-8.408099
3,40.125,-8.44596
3,40.13028,-8.479412
3,40.199653,-8.414266
3,40.217257,-8.43763
10,40.200031,-8.39861
3,40.23403,-8.526067
3,40.201479,-8.453565
3,40.19139,-8.415173
3,40.222667,-8.439651
3,40.206851,-8.41439
6,40.16766,-8.386163
3,40.217386,-8.411674
6,40.228896,-8.44715
3,40.198481,-8.397116
3,40.21147,-8.423119
3,40.17536,-8.380744
3,40.196812,-8.44047
3,40.207371,-8.404319
3,40.208497,-8.414684
3,40.220304,-8.439048
3,40.210595,-8.431731
6,40.2975,-8.446083
3,40.238903,-8.431898
6,40.203677,-8.431956
3,40.212733,-8.433277
3,40.24113,-8.511314
3,40.207486,-8.404473
3,40.22399,-8.419434
3,40.19446,-8.413256
3,40.198239,-8.461525
3,40.20614,-8.498268
3,40.210685,-8.458059
3,40.220386,-8.429324
3,40.20081,-8.419709
3,40.221691,-8.429698
6,40.26193,-8.443165
3,40.21221,-8.423037
3,40.208838,-8.399128
3,40.19561,-8.507141
3,40.211577,-8.418478
3,40.150279,-8.65218
3,40.194056,-8.417145
3,40.211125,-8.422419
3,40.22255,-8.547637
3,40.236465,-8.436439
3,40.207928,-8.400135
3,40.12824,-8.48402
3,40.213859,-8.445872
9,40.216503,-8.438842
3,40.210386,-8.461991
3,40.211743,-8.415937
6,40.201485,-8.409722
3,40.203284,-8.434165
3,40.204338,-8.425812
9,40.17625,-8.390921
3,40.200104,-8.438915
3,40.29771,-8.433326
3,40.25294,-8.424526
3,40.24921,-8.409881
6,40.203817,-8.432064
3,40.222796,-8.439428
3,40.13425,-8.393469
3,40.250163,-8.419723
3,40.27604,-8.387375
3,40.205142,-8.40787
3,40.2997,-8.419154
3,40.20508,-8.407923
3,40.201566,-8.472919
3,40.219496,-8.43885
3,40.1721,-8.412727
100,40.29907,-8.4229
3,40.28403,-8.465052
3,40.27278,-8.406496
3,40.233973,-8.424828
6,40.221887,-8.407653
6,40.17891,-8.38975
3,40.27133,-8.44957
3,40.18422,-8.487271
3,40.15996,-8.503729
3,40.224038,-8.424742
3,40.18899,-8.511035
3,40.22638,-8.52943
3,40.1919,-8.431079
3,40.24155,-8.550925
10,40.25907,-8.403394
6,40.26488,-8.482783
3,40.198249,-8.39758
6,40.18557,-8.560796
20,40.205906,-8.395226
3,40.14849,-8.466082
3,40.28051,-8.47878
6,40.26442,-8.402489
6,40.203476,-8.41323
3,40.232657,-8.438676
3,40.192706,-8.42543
3,40.193996,-8.408809
3,40.201056,-8.463166
6,40.207528,-8.410857
3,40.197276,-8.452335
3,40.19679,-8.430889
3,40.217998,-8.414249
3,40.242575,-8.408594
3,40.211657,-8.428883
18,40.16605,-8.456995
3,40.260966,-8.433152
6,40.1825,-8.353038
3,40.166,-8.50425
3,40.214167,-8.423514
3,40.204778,-8.435801
3,40.196636,-8.431289
3,40.206613,-8.429941
3,40.218238,-8.413518
3,40.243812,-8.396539
3,40.17547,-8.391259
3,40.201582,-8.410269
3,40.28344,-8.487078
3,40.198612,-8.461344
3,40.203514,-8.431847
3,40.185337,-8.41623
3,40.196631,-8.430588
3,40.201958,-8.399825
3,40.20509,-8.406287
3,40.214911,-8.441071
3,40.20372,-8.499853
3,40.28109,-8.428402
3,40.232032,-8.438006
3,40.211414,-8.445433
3,40.210137,-8.385999
3,40.28225,-8.427844
3,40.214182,-8.420678
16,40.30426,-8.395271
3,40.194067,-8.41943
3,40.215995,-8.439176
3,40.23608,-8.491176
3,40.217705,-8.416064
3,40.215016,-8.411229
3,40.196094,-8.482344
3,40.28753,-8.44595
3,40.194549,-8.439809
3,40.201202,-8.399544
3,40.221377,-8.431038
3,40.17581,-8.373937
3,40.198122,-8.452967
3,40.200096,-8.461285
3,40.210877,-8.433194
3,40.195907,-8.43026
3,40.215868,-8.436027
3,40.192706,-8.42543
3,40.179836,-8.446765
12,40.203909,-8.435193
3,40.211778,-8.416094
3,40.238293,-8.439819
6,40.30504,-8.388448
3,40.221476,-8.430496
3,40.196322,-8.429948
3,40.21802,-8.438131
3,40.26715,-8.429389
3,40.206264,-8.428623
3,40.234667,-8.441114
6,40.250588,-8.420068
10,40.212752,-8.43329
3,40.16222,-8.459067
9,40.215972,-8.409281
6,40.20718,-8.48873
6,40.202335,-8.431228
6,40.19216,-8.509757
3,40.18938,-8.392267
9,40.19728,-8.48745
9,40.217583,-8.404145
10,40.213336,-8.433139
3,40.237024,-8.436611
6,40.201969,-8.399785
3,40.185514,-8.425231
3,40.211311,-8.439862
3,40.253471,-8.424931
3,40.223509,-8.435988
3,40.19979,-8.421296
6,40.209357,-8.420216
3,40.214074,-8.455879
100,40.12751,-8.480397
3,40.214571,-8.401496
3,40.208452,-8.435292
3,40.348363,-8.591106
3,40.196644,-8.405337
6,40.214448,-8.446558
3,40.2737,-8.434546
6,40.214432,-8.415604
23,40.231338,-8.449718
3,40.20542,-8.49704
3,40.20258,-8.467733
3,40.212356,-8.430049
3,40.197085,-8.402688
3,40.209054,-8.431234
3,40.13186,-8.49359
3,40.293,-8.430119
6,40.29664,-8.428702
3,40.214863,-8.430482
3,40.21953,-8.555422
3,40.204222,-8.425755
3,40.210573,-8.422579
3,40.234082,-8.412616
3,40.226862,-8.445156
3,40.220761,-8.441331
3,40.251845,-8.430441
3,40.219412,-8.438809
6,40.203851,-8.425145
6,40.16935,-8.391521
12,40.201595,-8.410235
3,40.17973,-8.441411
3,40.30562,-8.403017
3,40.206149,-8.481071
3,40.223369,-8.409937
3,40.193703,-8.414913
9,40.17525,-8.380766
3,40.27602,-8.487604
3,40.25298,-8.43527
3,40.205491,-8.420017
3,40.19724,-8.436322
3,40.20617,-8.359083
3,40.200849,-8.407329
3,40.245926,-8.4297
6,40.218905,-8.450585
3,40.212592,-8.391849
3,40.1669,-8.456633
3,40.217339,-8.459749
3,40.216136,-8.410445
3,40.19825,-8.507648
6,40.203591,-8.432507
10,40.211451,-8.405532
16,40.180189,-8.446062
6,40.17669,-8.481908
3,40.216181,-8.43924
3,40.203449,-8.413113
103,40.20203,-8.494567
3,40.208115,-8.409267
6,40.28556,-8.5697
3,40.206377,-8.428806
3,40.20349,-8.434905
3,40.207701,-8.424806
3,40.207764,-8.407723
3,40.235326,-8.434102
12,40.12318,-8.406343
3,40.21741,-8.564208
3,40.25103,-8.480265
3,40.220932,-8.439157
3,40.252503,-8.442691
3,40.213473,-8.383239
3,40.248273,-8.406762
3,40.16502,-8.409058
3,40.19348,-8.402474
3,40.17923,-8.37184
3,40.195339,-8.450142
3,40.201969,-8.399785
3,40.215322,-8.443246
3,40.30155,-8.41242
3,40.21467,-8.442391
3,40.199816,-8.457304
3,40.198057,-8.443317
3,40.19058,-8.510805
3,40.214677,-8.444427
3,40.17413,-8.385487
20,40.19228,-8.525342
3,40.22351,-8.4395
3,40.22454,-8.375938
3,40.216324,-8.438918
3,40.219514,-8.395459
3,40.205071,-8.474575
3,40.210539,-8.42125
3,40.208366,-8.431964
3,40.215473,-8.435741
3,40.213338,-8.433731
3,40.209803,-8.422089
3,40.219533,-8.457602
23,40.220317,-8.399994
3,40.215452,-8.435758
3,40.251149,-8.442357
3,40.20548,-8.427465
3,40.253033,-8.435115
6,40.213651,-8.433923
3,40.201777,-8.415208
3,40.197337,-8.402646
3,40.13611,-8.399042
3,40.220099,-8.40973
10,40.235348,-8.433483
3,40.216183,-8.439096
3,40.220882,-8.414264
3,40.203416,-8.414482
3,40.20301,-8.485597
6,40.23991,-8.362613
3,40.22409,-8.42788
3,40.215279,-8.435362
3,40.21064,-8.376893
3,40.218057,-8.413583
3,40.204907,-8.411132
9,40.17519,-8.382858
3,40.243559,-8.432613
3,40.197496,-8.421114
3,40.218344,-8.424462
3,40.12576,-8.402132
3,40.214103,-8.455854
3,40.222828,-8.43941
3,40.219704,-8.435842
3,40.24662,-8.494288
3,40.217694,-8.437682
3,40.179961,-8.447393
3,40.27255,-8.443916
3,40.266083,-8.426704
3,40.205371,-8.404182
3,40.16304,-8.437521
3,40.206917,-8.419847
3,40.230776,-8.436612
3,40.214861,-8.403845
3,40.13472,-8.407771
3,40.215441,-8.435702
16,40.245939,-8.441043
3,40.244965,-8.440701
3,40.28978,-8.439875
3,40.210737,-8.472685
3,40.24013,-8.482647
3,40.198901,-8.460531
3,40.229171,-8.43836
3,40.194983,-8.456343
3,40.19764,-8.377149
3,40.2048,-8.426438
3,40.212108,-8.424694
6,40.25024,-8.473624
3,40.26613,-8.442767
6,40.28981,-8.446126
3,40.19249,-8.507565
3,40.214194,-8.431713
3,40.210664,-8.443298
3,40.17783,-8.427861
3,40.196596,-8.405645
3,40.20993,-8.45906
3,40.232953,-8.435874
3,40.20879,-8.420804
3,40.212736,-8.414757
3,40.201275,-8.41691
6,40.15794,-8.4594
3,40.211167,-8.42561
3,40.205071,-8.407642
3,40.210563,-8.432054
3,40.22603,-8.528175
3,40.213729,-8.432374
3,40.223465,-8.438785
3,40.216503,-8.438842
3,40.223442,-8.438859
3,40.186208,-8.414688
3,40.223312,-8.439335
3,40.24165,-8.408626
16,40.26975,-8.466291
3,40.212032,-8.432836
3,40.184291,-8.44839
3,40.211325,-8.424017
6,40.205961,-8.420107
3,40.204381,-8.408887
3,40.196956,-8.444872
3,40.27433,-8.480717
3,40.216594,-8.4357
3,40.216406,-8.438794
3,40.205001,-8.403899
3,40.210129,-8.44473
3,40.211412,-8.41699
3,40.252864,-8.435503
3,40.19421,-8.499502
3,40.17535,-8.380938
100,40.27438,-8.463271
6,40.198553,-8.435682
3,40.19834,-8.502131
3,40.194043,-8.405866
3,40.212324,-8.425475
3,40.200183,-8.419672
3,40.1559,-8.466049
3,40.15447,-8.459633
6,40.196297,-8.451381
3,40.194305,-8.412738
3,40.193494,-8.402789
3,40.204484,-8.400939
3,40.202508,-8.419163
3,40.206747,-8.420101
3,40.213338,-8.433731
3,40.198685,-8.397522
3,40.19694,-8.52149
3,40.209126,-8.431944
3,40.221192,-8.410747
3,40.252749,-8.425309
3,40.207389,-8.41149
3,40.1342,-8.431342
3,40.235432,-8.417386
6,40.214482,-8.428358
6,40.193054,-8.41569
3,40.214265,-8.453056
6,40.210758,-8.422452
3,40.222315,-8.415263
3,40.25057,-8.45111
6,40.16012,-8.428048
3,40.238659,-8.437479
9,40.214858,-8.413704
3,40.209447,-8.421659
3,40.211051,-8.439885
3,40.207029,-8.404156
3,40.19292,-8.48665
3,40.219499,-8.438866
3,40.1808,-8.389167
3,40.2714,-8.44415
3,40.23424,-8.448557
3,40.194015,-8.408085
3,40.16475,-8.384601
3,40.220404,-8.439004
3,40.208016,-8.409775
3,40.213885,-8.445989
3,40.209694,-8.398599
3,40.27172,-8.4456
3,40.232936,-8.43548
6,40.194609,-8.460506
6,40.208366,-8.431964
3,40.184912,-8.397031
3,40.208907,-8.431222
3,40.221005,-8.417326
3,40.202323,-8.459158
3,40.16901,-8.39054
3,40.235488,-8.43074
3,40.19083,-8.533215
3,40.200528,-8.412605
3,40.175784,-8.450929
3,40.219251,-8.420964
3,40.186549,-8.403747
3,40.2423,-8.493462
3,40.195882,-8.433006
6,40.29384,-8.446137
3,40.227359,-8.438804
20,40.207637,-8.470846
3,40.21538,-8.442002
3,40.19449,-8.406528
3,40.218188,-8.413568
6,40.181267,-8.447984
10,40.213857,-8.421675
3,40.238495,-8.434307
3,40.27249,-8.443733
3,40.192707,-8.440577
3,40.196646,-8.413037
3,40.221659,-8.435055
3,40.205459,-8.427497
3,40.200821,-8.407504
3,40.14979,-8.380272
6,40.233307,-8.377349
