Ind. Gravidade,Latitude GPS,Longitude GPS
3,40.216043,-8.413393
3,40.22329,-8.427426
3,40.223951,-8.441442
3,40.214213,-8.441156
3,40.26124,-8.428682
3,40.200671,-8.40641
3,40.239176,-8.4657
10,40.225601,-8.427836
3,40.22238,-8.439435
3,40.209382,-8.4143
6,40.190155,-8.400535
3,40.215214,-8.436777
6,40.254043,-8.425782
3,40.222002,-8.429464
3,40.212711,-8.433172
3,40.208235,-8.431441
3,40.203139,-8.435249
3,40.210516,-8.384715
3,40.208007,-8.409892
3,40.211529,-8.428522
3,40.203394,-8.410369
3,40.236143,-8.379133
3,40.237423,-8.402143
3,40.185309,-8.397204
10,40.215889,-8.439631
3,40.219637,-8.418188
3,40.19979,-8.420663
3,40.214985,-8.430721
3,40.214763,-8.441285
6,40.219602,-8.413469
3,40.205237,-8.401015
3,40.201202,-8.399544
3,40.198834,-8.409439
3,40.214347,-8.428264
3,40.214542,-8.430071
3,40.215019,-8.437129
3,40.2036,-8.418519
3,40.193674,-8.415113
10,40.219497,-8.407131
10,40.227448,-8.439131
6,40.219067,-8.406908
3,40.239229,-8.435262
3,40.215889,-8.439631
3,40.21696,-8.413246
3,40.201739,-8.448295
3,40.194491,-8.40652
3,40.211595,-8.427473
3,40.195421,-8.413167
3,40.221644,-8.409565
3,40.18702,-8.416365
3,40.209399,-8.40216
3,40.214725,-8.447538
3,40.197907,-8.42097
6,40.182567,-8.448155
3,40.221507,-8.412759
3,40.208134,-8.419798
6,40.229782,-8.448159
3,40.219362,-8.436278
6,40.219226,-8.452489
3,40.24927,-8.443115
12,40.195511,-8.431708
3,40.253561,-8.440617
3,40.193515,-8.402796
3,40.220485,-8.43579
6,40.22655,-8.410307
3,40.207407,-8.420795
3,40.191695,-8.431541
3,40.205208,-8.401053
6,40.205982,-8.474849
3,40.210696,-8.41368
3,40.248028,-8.40683
3,40.206454,-8.417178
3,40.221547,-8.42984
3,40.203074,-8.41038
3,40.217958,-8.437399
3,40.207365,-8.404157
6,40.210173,-8.43177
9,40.190121,-8.41783
12,40.185041,-8.431465
3,40.179834,-8.447188
3,40.214536,-8.415367
3,40.196083,-8.410497
3,40.200362,-8.40354
3,40.209686,-8.415409
6,40.237722,-8.402926
13,40.231926,-8.447684
3,40.20529,-8.42702
10,40.198861,-8.422296
